id,neighbourhood_cleansed,lat,lon,property_type,room_type,price,accommodates,bathrooms,amenities,review_scores_rating,review_scores_location,instant_bookable,calculated_host_listings_count,lake_access,num_amenities,dist_ta,dist_pb,num_ta,num_stops
494701,Commune de Genève,46.20518,6.12397,Entire apartment,Entire home/apt,124.0,8,1.5,"[""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Hangers"", ""Microwave"", ""Dishwasher"", ""Elevator"", ""Refrigerator"", ""Long term stays allowed"", ""Dishes and silverware"", ""Essentials"", ""Washer"", ""Stove"", ""Lockbox"", ""Bathtub"", ""Heating"", ""Hot water"", ""Iron"", ""Coffee maker"", ""Kitchen""]",4.07,4.44,1,11,0,20,958.042815827824,794.0519712300521,0,0
530979,Commune de Genève,46.21699,6.12736,Private room in apartment,Private room,197.0,2,1.0,"[""Wifi"", ""Elevator"", ""Long term stays allowed"", ""Washer"", ""TV"", ""Heating"", ""Dryer"", ""Kitchen""]",4.7,4.63,0,1,0,8,1438.7557038363202,325.0020675818767,0,0
534098,Commune de Genève,46.22388,6.13371,Private room in condominium,Private room,86.0,1,1.0,"[""Ethernet connection"", ""Extra pillows and blankets"", ""Cable TV"", ""Dishes and silverware"", ""Dining table"", ""Shower gel"", ""Private entrance"", ""Toaster"", ""Hot water kettle"", ""Iron"", ""Shampoo"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Wine glasses"", ""Bathtub"", ""Pool"", ""Hot water"", ""Dedicated workspace"", ""Fire extinguisher"", ""Room-darkening shades"", ""Elevator"", ""Rice maker"", ""Cleaning products"", ""TV with standard cable"", ""Stove"", ""Heating"", ""Dryer"", ""Bed linens"", ""Host greets you"", ""Coffee maker"", ""Hot tub"", ""Freezer"", ""Microwave"", ""Conditioner"", ""Hangers"", ""Long term stays allowed"", ""Safe"", ""Refrigerator"", ""Oven"", ""Body soap"", ""Cooking basics"", ""Kitchen""]",4.8,4.88,0,1,0,43,487.7508446920332,627.5732815744157,1,0
610685,Grand-Saconnex,46.23507,6.12345,Private room in apartment,Private room,36.0,2,2.0,"[""Wifi"", ""Dishwasher"", ""Cooking basics"", ""Hangers"", ""Elevator"", ""Lock on bedroom door"", ""Long term stays allowed"", ""Refrigerator"", ""Dishes and silverware"", ""Essentials"", ""Washer"", ""Stove"", ""Smoke alarm"", ""Oven"", ""Bathtub"", ""Heating"", ""Dryer"", ""Hot water"", ""Iron"", ""Kitchen""]",4.17,4.81,1,11,0,20,2017.1708028112853,1522.5624868098064,0,0
610738,Commune de Genève,46.20117,6.13139,Entire apartment,Entire home/apt,150.0,4,1.0,"[""Cable TV"", ""Dishes and silverware"", ""Washer"", ""Smoke alarm"", ""Iron"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Hot water"", ""Lockbox"", ""Dedicated workspace"", ""Dishwasher"", ""Elevator"", ""TV with standard cable"", ""Stove"", ""Heating"", ""Coffee maker"", ""Microwave"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Oven"", ""Kitchen""]",4.33,4.46,0,11,0,23,278.2531745385596,176.93168185653224,2,2
626512,Commune de Genève,46.2124,6.15048,Entire apartment,Entire home/apt,110.0,2,1.0,"[""Ethernet connection"", ""Cable TV"", ""Dishes and silverware"", ""Washer"", ""Smoke alarm"", ""Iron"", ""Shampoo"", ""Lake access"", ""Wifi"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Essentials"", ""Pocket wifi"", ""Hot water"", ""Dishwasher"", ""Fire extinguisher"", ""Elevator"", ""TV with standard cable"", ""Stove"", ""Heating"", ""Dryer"", ""Bed linens"", ""Host greets you"", ""Free street parking"", ""Coffee maker"", ""Indoor fireplace"", ""Microwave"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Oven"", ""Cooking basics"", ""Kitchen""]",4.97,4.84,0,1,1,33,818.3394173850478,562.2100769772326,0,0
628055,Commune de Genève,46.19275,6.14371,Private room in apartment,Private room,48.0,2,1.5,"[""Dishes and silverware"", ""Smoke alarm"", ""Shower gel"", ""Iron"", ""Shampoo"", ""Wifi"", ""Hair dryer"", ""Carbon monoxide alarm"", ""Essentials"", ""Hot water"", ""Lockbox"", ""Dedicated workspace"", ""Stove"", ""Heating"", ""Bed linens"", ""Coffee maker"", ""Hangers"", ""First aid kit"", ""Refrigerator"", ""Oven"", ""Cooking basics"", ""Paid parking off premises"", ""Kitchen""]",4.75,4.81,0,2,0,23,647.9394838343743,96.45892414437569,0,4
628495,Commune de Genève,46.20174,6.14594,Entire apartment,Entire home/apt,77.0,2,1.0,"[""Wifi"", ""Dedicated workspace"", ""Hair dryer"", ""Hangers"", ""Cooking basics"", ""Long term stays allowed"", ""Refrigerator"", ""Coffee maker"", ""Essentials"", ""Washer"", ""Stove"", ""Oven"", ""Heating"", ""Dryer"", ""Keypad"", ""Hot water"", ""Iron"", ""Shampoo"", ""Kitchen""]",4.83,4.95,0,1,0,19,83.40039916005688,186.5479708787637,10,5
639461,Grand-Saconnex,46.23491,6.12378,Entire apartment,Entire home/apt,129.0,8,2.0,"[""Cable TV"", ""Dishes and silverware"", ""Washer"", ""Smoke alarm"", ""Iron"", ""Wifi"", ""Hair dryer"", ""Essentials"", ""Bathtub"", ""Hot water"", ""Dedicated workspace"", ""Dishwasher"", ""Elevator"", ""TV with standard cable"", ""Stove"", ""Heating"", ""Coffee maker"", ""Hangers"", ""Long term stays allowed"", ""Refrigerator"", ""Oven"", ""Kitchen""]",4.22,4.63,1,11,0,22,1977.1335241100908,1553.3164606360697,0,0
649023,Commune de Genève,46.20175,6.14852,Entire apartment,Entire home/apt,67.0,2,1.0,"[""Wifi"", ""Dedicated workspace"", ""Hangers"", ""Elevator"", ""Long term stays allowed"", ""Refrigerator"", ""Coffee maker"", ""Dishes and silverware"", ""Essentials"", ""Lockbox"", ""Heating"", ""Hot water"", ""Cooking basics"", ""Shampoo"", ""Hot tub"", ""Kitchen""]",4.87,5.0,0,1,0,16,162.62593407905752,249.0786046410645,10,2
